episode,reward,steps,loss
974,13,18,None
975,14,19,None
976,57,32,None
977,35,30,None
978,35,30,None
979,62,37,None
980,27,32,None
981,18,23,None
982,21,26,None
983,39,34,None
984,17,22,None
985,32,37,None
986,44,29,None
987,21,26,None
988,24,29,None
989,32,27,None
990,4,9,None
991,52,37,None
992,48,33,None
993,116,51,None
994,27,32,None
995,54,39,None
996,20,25,None
997,35,30,None
998,87,42,None
999,16,21,None
